LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,atraso_medio,media_faturas,media_pagamento,default
330000,2,1,1,31,0.3333333333333333,106596.66666666667,5457.833333333333,0
50000,1,3,1,47,0.3333333333333333,15523.166666666666,1166.6666666666667,0
280000,1,2,1,41,2.1666666666666665,142501.33333333334,6767.333333333333,0
100000,2,1,2,24,0.0,55864.333333333336,2977.6666666666665,0
50000,1,2,2,41,0.0,19851.666666666668,911.8333333333334,0
30000,1,1,2,24,1.0,19610.0,1052.0,1
240000,1,1,2,28,-1.0,1242.6666666666667,1276.0,0
80000,1,2,2,26,0.3333333333333333,16503.666666666668,1283.3333333333333,1
400000,1,2,1,34,-1.0,11971.333333333334,9648.5,0
240000,2,2,2,38,-0.3333333333333333,34950.5,1845.5,0
50000,1,3,2,37,2.1666666666666665,48374.166666666664,1705.8333333333333,1
450000,1,1,1,40,-1.5,0.0,0.0,1
110000,2,1,1,48,-1.5,0.0,0.0,0
310000,2,2,1,35,0.3333333333333333,271089.6666666667,8995.5,1
20000,1,1,2,27,0.0,18683.333333333332,718.0,0
20000,1,2,2,23,-1.5,0.0,0.0,0
200000,1,3,2,52,0.0,102947.5,3676.0,0
180000,1,1,1,36,0.0,111480.33333333333,2461.8333333333335,1
50000,1,2,1,51,0.0,5091.333333333333,1033.3333333333333,1
60000,1,3,1,55,1.1666666666666667,44020.833333333336,1251.8333333333333,0
30000,2,1,2,23,-1.1666666666666667,5462.666666666667,5314.333333333333,0
240000,1,1,2,41,-0.3333333333333333,1879.8333333333333,1490.6666666666667,0
420000,1,2,1,34,0.0,224985.16666666666,8884.833333333334,0
330000,1,3,1,46,0.0,228219.5,8182.666666666667,0
30000,2,2,2,22,0.0,20580.333333333332,910.0,0
240000,1,2,1,34,1.0,12951.333333333334,771.1666666666666,0
150000,1,1,2,27,0.0,23471.5,3333.3333333333335,0
210000,2,2,1,33,0.0,7209.333333333333,1174.3333333333333,0
50000,2,3,1,51,-1.3333333333333333,1155.3333333333333,1030.0,1
50000,1,1,2,24,0.0,34721.666666666664,1493.3333333333333,0
240000,1,1,2,47,-1.5,0.0,0.0,1
180000,1,2,2,28,-1.0,638.0,930.0,0
50000,1,2,2,23,1.1666666666666667,16581.166666666668,2250.0,0
170000,1,2,2,29,-2.0,11331.333333333334,10974.333333333334,0
20000,1,1,2,29,-0.8333333333333334,4418.333333333333,3940.1666666666665,0
50000,1,1,2,28,0.5,8030.666666666667,1197.1666666666667,0
170000,2,2,2,27,0.0,17502.0,625.3333333333334,1
200000,1,1,2,34,0.5,132378.83333333334,14500.0,0
80000,2,2,1,23,1.3333333333333333,10325.0,686.8333333333334,0
260000,2,1,1,60,-0.8333333333333334,3506.3333333333335,4078.1666666666665,0
140000,1,2,1,32,0.3333333333333333,68553.83333333333,2711.1666666666665,0
80000,1,1,2,25,0.0,42754.666666666664,10500.0,0
350000,1,1,2,41,-0.8333333333333334,790.6666666666666,756.0,0
280000,2,2,1,56,0.0,161936.83333333334,22200.0,0
30000,2,3,2,26,0.0,11678.666666666666,1450.0,0
140000,1,1,1,34,0.0,37163.333333333336,5898.166666666667,0
200000,2,1,2,37,0.0,95901.16666666667,3760.0,0
200000,2,3,2,30,0.0,169693.33333333334,6298.0,0
210000,1,3,1,45,4.0,134241.83333333334,10878.0,1
50000,1,3,1,57,0.8333333333333334,13314.0,633.3333333333334,0
30000,1,1,2,41,1.6666666666666667,27099.333333333332,1358.3333333333333,0
50000,1,2,2,27,0.0,566.0,440.0,0
290000,1,3,1,47,-0.8333333333333334,606.1666666666666,396.0,0
250000,2,1,1,34,0.3333333333333333,153157.0,6641.666666666667,0
60000,2,2,1,46,0.0,25050.666666666668,1666.6666666666667,0
110000,2,1,2,27,0.0,89889.83333333333,3516.6666666666665,0
370000,1,1,2,50,-2.0,10511.666666666666,10324.0,0
100000,1,2,1,27,0.5,51681.5,9317.666666666666,0
90000,2,2,1,35,0.3333333333333333,78825.16666666667,4108.666666666667,0
50000,2,2,2,22,0.0,28559.833333333332,1132.5,0
270000,1,2,2,37,0.0,30034.833333333332,3166.6666666666665,0
300000,2,1,2,30,-1.0,1963.3333333333333,1974.3333333333333,0
50000,2,2,2,22,-0.16666666666666666,8964.5,5191.5,0
50000,2,1,2,24,-1.5,-1928.1666666666667,0.0,1
360000,1,1,2,29,-1.1666666666666667,12.833333333333334,12.833333333333334,0
130000,1,3,1,56,2.0,68429.16666666667,2416.6666666666665,1
80000,1,1,2,30,-0.5,2604.0,1000.6666666666666,0
50000,1,2,2,30,0.8333333333333334,36747.166666666664,1083.3333333333333,0
20000,2,2,2,22,0.0,13985.666666666666,1152.1666666666667,0
80000,2,2,1,29,0.3333333333333333,53926.5,1466.6666666666667,0
240000,1,1,2,37,-0.16666666666666666,19710.166666666668,14031.833333333334,0
80000,2,3,2,35,-0.16666666666666666,21581.166666666668,4833.333333333333,0
500000,2,1,1,47,0.0,96540.5,37091.666666666664,0
60000,2,2,1,24,0.0,37073.833333333336,1806.1666666666667,1
20000,1,2,2,25,-0.16666666666666666,8484.0,892.1666666666666,0
100000,2,2,1,38,0.8333333333333334,15391.833333333334,933.3333333333334,1
360000,2,1,2,32,-0.6666666666666666,27257.666666666668,33214.666666666664,0
200000,2,3,2,47,2.0,197097.0,5997.333333333333,1
130000,2,2,1,34,0.0,9623.666666666666,2899.5,0
20000,2,2,2,31,3.1666666666666665,20965.333333333332,293.3333333333333,0
310000,1,1,2,32,0.0,58956.666666666664,6736.5,0
60000,2,1,2,27,0.6666666666666666,21669.666666666668,1125.3333333333333,1
180000,2,1,2,29,-1.0,7642.333333333333,3813.5,0
180000,2,1,2,24,-0.3333333333333333,11373.166666666666,6344.5,0
50000,1,2,1,36,-0.3333333333333333,14145.0,4418.5,0
50000,2,1,2,24,1.8333333333333333,38126.5,1355.3333333333333,1
150000,2,2,1,34,-2.0,269.3333333333333,269.3333333333333,0
20000,2,1,2,22,-0.16666666666666666,17251.833333333332,4127.666666666667,0
500000,2,1,1,34,-1.5,1076.1666666666667,3643.5,0
30000,2,3,2,22,0.8333333333333334,19642.333333333332,483.8333333333333,1
180000,2,1,1,38,-2.0,125.0,0.0,0
140000,1,1,2,31,0.6666666666666666,21812.0,6383.333333333333,0
140000,2,1,2,26,-0.8333333333333334,10706.0,8306.5,0
120000,1,2,2,26,0.0,114815.66666666667,4858.666666666667,0
360000,2,2,1,48,0.0,200463.16666666666,6250.0,0
20000,1,3,1,43,-0.3333333333333333,16490.166666666668,5256.333333333333,0
100000,1,1,1,47,-1.0,505.5,837.1666666666666,0
210000,2,2,1,41,-1.0,1609.5,1164.6666666666667,1
80000,2,2,2,24,0.0,65234.5,2306.3333333333335,1
330000,2,1,1,50,-1.3333333333333333,3243.6666666666665,1811.3333333333333,0
220000,1,1,2,24,-0.5,69996.5,17330.833333333332,0
210000,2,1,1,38,-0.6666666666666666,397.3333333333333,1979.5,1
40000,2,3,1,43,0.0,35990.833333333336,1400.6666666666667,0
30000,1,2,2,39,0.3333333333333333,17267.166666666668,1415.5,0
470000,1,2,2,27,1.3333333333333333,333803.0,9281.666666666666,0
30000,1,3,1,42,-0.5,585.0,415.0,0
240000,2,2,1,36,-1.5,-946.0,0.0,1
80000,1,2,2,36,0.3333333333333333,78468.16666666667,3250.0,0
110000,2,3,0,31,0.0,75641.16666666667,4492.333333333333,0
310000,2,1,2,38,-1.3333333333333333,1015.3333333333334,778.0,0
360000,2,1,1,40,1.0,114260.83333333333,5350.0,1
330000,2,3,2,45,0.0,334236.3333333333,12203.833333333334,0
300000,2,2,2,35,0.0,238552.5,12430.333333333334,0
320000,2,2,2,33,0.0,72878.0,6977.666666666667,0
50000,2,3,2,37,1.0,40661.333333333336,5719.5,1
170000,2,1,2,28,0.0,128683.66666666667,8091.5,0
350000,1,3,1,44,-1.1666666666666667,1397.3333333333333,853.1666666666666,0
20000,1,2,1,37,0.0,18076.833333333332,1260.6666666666667,0
50000,1,2,2,23,0.3333333333333333,33750.166666666664,1512.3333333333333,1
20000,2,3,2,24,0.5,10652.0,855.5,0
50000,2,1,2,24,0.0,22155.0,1122.0,0
20000,1,2,2,23,0.8333333333333334,15776.0,2200.0,1
50000,1,2,1,26,-0.6666666666666666,32924.666666666664,8656.333333333334,0
190000,1,2,2,34,1.0,138009.66666666666,5814.5,1
60000,2,2,1,33,0.0,29299.0,989.1666666666666,0
80000,1,1,2,35,-1.0,6975.333333333333,6048.833333333333,0
150000,2,2,2,27,0.0,66630.0,2104.1666666666665,0
210000,2,1,2,31,-1.6666666666666667,3021.6666666666665,3331.5,0
240000,2,3,1,50,0.0,218871.16666666666,8499.5,1
140000,2,2,3,41,0.0,19309.0,2266.1666666666665,1
60000,2,1,2,28,0.0,7406.0,380.8333333333333,0
50000,1,1,2,39,0.0,40207.333333333336,2133.3333333333335,0
50000,2,2,2,27,0.0,28205.666666666668,1325.0,0
180000,2,1,2,32,0.0,2439.0,969.6666666666666,0
30000,2,1,2,40,1.0,102.16666666666667,99.16666666666667,0
20000,2,2,2,40,-0.3333333333333333,13314.833333333334,986.3333333333334,0
250000,2,2,1,75,-0.8333333333333334,10569.5,1954.5,0
100000,2,2,2,27,0.0,32749.666666666668,1376.6666666666667,0
330000,1,1,2,25,0.3333333333333333,42667.5,2538.3333333333335,0
50000,1,3,1,46,0.0,19645.166666666668,1171.1666666666667,0
50000,2,2,2,26,0.8333333333333334,40143.666666666664,1677.0,0
30000,1,2,2,28,0.0,22526.666666666668,1342.6666666666667,0
140000,2,2,2,26,0.0,105239.83333333333,4173.5,1
160000,2,1,2,28,-0.16666666666666666,56231.833333333336,22051.833333333332,0
400000,2,2,2,29,-0.8333333333333334,5671.666666666667,2470.8333333333335,0
50000,1,2,1,25,0.0,28925.333333333332,1140.3333333333333,0
140000,2,2,1,48,-0.8333333333333334,4515.833333333333,4583.5,0
160000,2,2,1,33,-0.8333333333333334,13701.166666666666,11443.5,0
100000,2,3,1,43,-1.3333333333333333,10361.666666666666,0.0,0
220000,1,1,1,48,0.3333333333333333,188240.0,7003.333333333333,1
510000,2,1,2,29,0.0,85535.16666666667,26745.0,0
50000,1,2,2,29,0.0,33700.166666666664,2752.0,0
160000,2,1,1,38,-0.5,10546.166666666666,7357.0,0
230000,2,1,2,37,-2.0,8955.833333333334,8658.666666666666,0
80000,2,1,2,37,-1.0,5842.333333333333,4826.166666666667,0
150000,2,2,1,25,-1.1666666666666667,1184.0,210.66666666666666,0
10000,1,3,2,23,0.3333333333333333,8689.333333333334,655.3333333333334,0
130000,2,3,2,49,0.0,59630.166666666664,1664.3333333333333,1
40000,2,1,2,48,0.0,34662.5,1533.3333333333333,0
50000,1,2,2,27,1.0,12286.166666666666,1105.1666666666667,1
100000,1,3,2,32,0.0,30034.833333333332,1614.3333333333333,0
120000,1,1,1,34,0.0,735.6666666666666,300.0,0
260000,2,1,2,58,-1.5,0.0,0.0,1
200000,2,2,2,33,0.0,13478.5,1920.3333333333333,0
360000,2,2,2,28,-2.0,0.0,0.0,1
70000,2,2,2,36,0.0,44292.166666666664,4707.833333333333,0
460000,1,1,1,40,-0.5,4673.166666666667,4654.5,1
50000,2,1,2,26,-1.0,456.0,316.0,0
50000,1,3,1,33,0.0,35298.5,1167.3333333333333,0
250000,2,2,1,31,0.0,100668.5,4483.333333333333,0
30000,2,1,2,27,-0.5,1074.6666666666667,527.3333333333334,0
270000,1,2,1,44,-0.3333333333333333,81099.0,24035.666666666668,0
180000,2,3,2,30,0.0,126701.83333333333,4532.0,0
100000,2,1,2,28,0.0,53863.666666666664,3366.3333333333335,0
230000,2,3,1,32,0.0,111252.83333333333,4833.333333333333,0
210000,2,1,1,46,-1.0,35173.166666666664,20078.333333333332,0
210000,1,1,2,38,0.3333333333333333,59828.333333333336,2300.6666666666665,0
440000,2,2,1,46,0.0,138029.83333333334,4957.666666666667,0
100000,2,2,2,25,0.3333333333333333,67273.0,2201.6666666666665,1
240000,2,2,1,46,0.0,9349.5,1049.1666666666667,0
280000,1,1,2,33,-1.0,-56043.166666666664,57956.5,1
50000,2,2,2,22,-1.5,0.0,0.0,1
30000,1,2,1,43,2.1666666666666665,2162.0,333.3333333333333,0
10000,1,2,2,27,0.3333333333333333,9474.666666666666,911.6666666666666,1
130000,1,1,2,29,-1.5,0.0,250.0,0
200000,1,1,2,31,0.0,163159.66666666666,6070.833333333333,0
120000,2,2,1,29,-1.0,1294.1666666666667,1452.5,0
210000,2,2,1,36,0.0,143074.66666666666,5451.5,0
280000,2,1,1,36,0.0,45606.666666666664,1953.0,0
300000,1,1,2,34,-0.6666666666666666,7566.666666666667,5466.5,1
100000,1,2,2,37,0.0,77141.83333333333,2550.5,0
440000,2,1,2,36,-2.0,0.0,27000.0,0
50000,2,3,1,40,0.0,25716.833333333332,1267.6666666666667,0
20000,2,1,2,25,0.3333333333333333,16407.833333333332,1916.6666666666667,1
200000,2,1,2,27,-0.5,3039.3333333333335,2154.5,0
110000,2,2,2,26,-2.0,2143.3333333333335,2020.6666666666667,0
500000,2,2,1,36,-1.0,7921.5,6175.333333333333,0
300000,2,2,1,27,-1.1666666666666667,869.1666666666666,869.1666666666666,0
30000,1,3,1,55,2.6666666666666665,12143.833333333334,1483.3333333333333,1
60000,2,1,2,27,-1.0,10985.333333333334,7851.833333333333,0
400000,2,2,1,38,-0.6666666666666666,3525.5,3192.1666666666665,0
180000,2,2,1,34,0.0,137944.33333333334,5333.333333333333,0
20000,1,1,2,40,0.3333333333333333,13174.5,1766.6666666666667,0
200000,2,3,1,49,0.8333333333333334,55507.833333333336,2714.3333333333335,1
100000,1,1,2,27,0.0,32417.166666666668,811.8333333333334,0
60000,1,2,2,23,0.0,28588.666666666668,1335.5,1
110000,2,2,2,36,0.0,50636.166666666664,2250.0,0
260000,2,3,1,53,-1.0,337.5,414.0,0
50000,2,3,1,46,1.1666666666666667,35586.0,1228.6666666666667,0
180000,1,2,2,29,-1.5,-2.0,0.0,0
110000,1,2,2,29,0.8333333333333334,51891.0,1725.6666666666667,1
340000,2,1,2,27,0.0,153856.16666666666,15024.5,0
50000,1,2,2,24,-0.16666666666666666,5275.0,1836.5,0
230000,2,2,1,28,-0.6666666666666666,9221.166666666666,1958.3333333333333,1
360000,2,2,2,32,0.0,95901.5,9500.0,0
210000,1,2,2,43,-0.3333333333333333,26783.166666666668,8668.833333333334,0
220000,2,2,1,41,0.5,562.5,320.8333333333333,1
60000,2,2,1,34,1.6666666666666667,28347.0,1685.1666666666667,1
340000,1,2,1,55,-1.6666666666666667,22927.666666666668,27397.666666666668,0
150000,1,1,1,40,2.0,104009.16666666667,4283.333333333333,0
200000,2,2,1,37,-0.16666666666666666,7898.333333333333,8566.666666666666,1
130000,2,2,2,40,0.3333333333333333,11085.666666666666,1200.0,1
60000,2,1,2,28,0.5,16044.333333333334,5116.0,0
400000,2,2,1,43,-1.1666666666666667,13331.333333333334,13331.333333333334,0
20000,1,1,2,27,0.0,19457.833333333332,917.1666666666666,0
190000,2,1,2,28,0.0,152145.83333333334,6139.333333333333,0
260000,2,1,2,30,0.0,158850.0,7333.333333333333,0
140000,2,2,2,31,-2.0,65.0,0.0,0
50000,2,2,1,31,0.0,39013.333333333336,1767.8333333333333,1
120000,2,1,2,34,-0.8333333333333334,2831.0,3367.3333333333335,0
240000,2,2,2,30,-2.0,61.333333333333336,359.8333333333333,0
50000,1,2,2,36,-0.16666666666666666,3141.1666666666665,565.0,0
200000,2,1,2,29,0.0,12778.166666666666,5175.833333333333,0
180000,1,1,1,39,-0.3333333333333333,153467.0,47483.833333333336,0
180000,2,1,2,26,0.0,122474.5,4451.666666666667,0
160000,2,1,2,29,-0.8333333333333334,1638.6666666666667,4083.3333333333335,0
100000,2,2,2,26,-0.5,3203.8333333333335,2329.0,0
50000,2,2,2,29,0.0,45576.5,2166.6666666666665,1
140000,2,2,2,31,0.0,139987.33333333334,5750.0,0
30000,2,2,2,26,0.0,19648.333333333332,1010.6666666666666,1
90000,1,1,2,26,-0.3333333333333333,14430.333333333334,5307.0,0
200000,1,1,1,36,-1.0,-4465.833333333333,28522.166666666668,0
380000,1,1,2,30,-1.5,0.0,0.0,1
80000,2,2,2,43,0.0,50525.333333333336,2007.5,0
50000,1,3,1,58,1.3333333333333333,18202.666666666668,1112.1666666666667,0
180000,1,2,1,45,-0.16666666666666666,29546.333333333332,1463.5,1
240000,2,2,2,26,0.0,120823.33333333333,4566.333333333333,0
380000,1,2,2,34,0.0,180426.83333333334,10735.0,0
110000,2,4,2,24,0.0,81276.0,3216.6666666666665,0
260000,1,1,1,34,-1.0,22947.833333333332,20277.666666666668,0
500000,2,2,2,23,1.5,487775.5,12583.333333333334,1
320000,2,2,2,30,0.0,72719.66666666667,2611.5,0
50000,1,2,2,32,1.5,41476.5,914.1666666666666,0
110000,1,1,1,40,-0.6666666666666666,749.6666666666666,427.3333333333333,1
230000,2,1,2,35,-2.0,552.3333333333334,512.1666666666666,0
330000,2,2,1,56,-0.8333333333333334,2606.6666666666665,2676.8333333333335,0
50000,2,2,1,61,0.0,36383.666666666664,1708.5,0
10000,1,2,2,24,0.8333333333333334,2458.6666666666665,275.0,0
300000,1,1,1,40,-1.5,0.0,0.0,0
20000,2,2,1,32,0.8333333333333334,15555.166666666666,531.6666666666666,1
180000,1,2,1,36,-0.6666666666666666,13923.0,0.0,1
160000,1,1,2,30,-1.0,10246.666666666666,19987.666666666668,0
90000,2,1,2,34,1.0,42296.0,3440.0,0
30000,1,3,3,54,0.0,23523.333333333332,2000.0,0
180000,1,1,1,46,0.0,139364.33333333334,31577.166666666668,0
30000,1,3,1,58,0.0,21045.333333333332,1336.0,0
30000,1,2,1,43,0.8333333333333334,22043.0,1248.0,0
140000,2,1,2,28,-0.6666666666666666,7504.0,5991.0,0
210000,1,1,2,30,0.0,54577.5,4250.0,0
50000,1,2,2,31,0.0,13991.833333333334,2721.1666666666665,1
130000,2,2,2,29,0.0,78729.83333333333,3416.6666666666665,0
50000,2,2,1,37,1.0,2732.8333333333335,583.3333333333334,1
140000,1,3,1,36,0.0,89732.16666666667,7950.0,0
170000,2,2,2,28,0.16666666666666666,4895.333333333333,649.8333333333334,1
80000,1,2,2,25,-0.3333333333333333,17875.166666666668,3017.1666666666665,0
410000,2,5,1,42,0.0,290242.3333333333,10633.333333333334,0
80000,2,1,2,29,-1.1666666666666667,13333.333333333334,13333.333333333334,0
80000,1,3,1,73,0.8333333333333334,69364.0,3905.0,1
150000,1,2,1,43,0.0,157349.83333333334,6139.0,0
260000,1,1,1,30,-0.6666666666666666,431.0,21969.166666666668,1
350000,1,1,1,38,-1.5,0.0,0.0,0
280000,2,2,1,39,0.0,29159.0,8114.0,1
310000,1,2,1,44,0.0,83905.66666666667,3346.3333333333335,0
140000,2,2,2,29,0.0,19728.166666666668,2750.0,0
360000,1,1,1,51,-1.5,10500.0,4166.666666666667,0
140000,2,1,2,27,0.0,143057.5,7266.666666666667,0
100000,1,1,2,38,0.0,40130.5,856.8333333333334,0
50000,2,2,2,22,-2.0,246.66666666666666,246.66666666666666,0
210000,2,2,1,30,0.0,94543.16666666667,3867.0,0
120000,2,2,2,25,2.0,117299.66666666667,3613.1666666666665,0
240000,1,1,2,29,-0.16666666666666666,111151.16666666667,34105.666666666664,0
60000,2,3,3,42,0.0,30834.5,1647.5,0
150000,1,1,2,41,-0.5,1183.0,881.8333333333334,1
30000,1,2,1,48,0.0,26923.833333333332,1490.3333333333333,0
160000,2,1,2,29,2.0,162469.16666666666,5085.333333333333,1
200000,1,1,1,52,-2.0,15351.333333333334,15412.166666666666,0
120000,2,2,1,25,-1.0,7978.166666666667,1000.0,0
500000,1,1,1,37,0.5,411076.3333333333,10784.833333333334,0
320000,2,1,2,27,0.0,60852.5,11266.833333333334,0
280000,1,1,2,31,0.0,173955.33333333334,7137.166666666667,0
60000,2,1,2,23,1.8333333333333333,30938.166666666668,1368.1666666666667,1
200000,2,1,1,38,-1.3333333333333333,42.833333333333336,86.16666666666667,0
230000,2,1,1,32,-0.8333333333333334,1933.3333333333333,1935.1666666666667,0
230000,2,2,2,27,0.5,10722.0,1240.1666666666667,1
480000,2,3,1,41,-2.0,48748.166666666664,46618.833333333336,0
50000,2,3,1,35,-1.5,4583.333333333333,940.0,0
200000,2,1,2,31,-2.0,3881.0,3312.0,0
50000,2,1,2,30,0.3333333333333333,17449.0,1300.0,0
50000,1,2,1,48,0.0,30069.5,2576.8333333333335,0
260000,2,1,2,36,-1.5,0.0,0.0,1
